power,cost
70,2245.146
71,2328.155
72,2411.165
73,2494.175
74,2577.184
75,2660.194
76,2735.922
77,2811.65
78,2887.379
79,2963.107
80,3038.835
81,3111.202
82,3172.367
83,3233.532
84,3294.698
85,3355.863
86,3415.291
87,3468.932
88,3522.573
89,3576.214
90,3629.854
91,3683.495
92,3737.136
93,3783.883
94,3815.121
95,3846.359
96,3877.597
97,3908.835
98,3940.073
99,3971.311
100,4002.549
101,4030.291
102,4055.85
103,4081.408
104,4106.966
105,4132.524
106,4158.083
107,4183.641
108,4209.199
109,4211.165
110,4211.165
111,4211.165
112,4211.165
113,4211.165
114,4211.165
115,4211.165
116,4209.149
117,4200.411
118,4191.673
119,4182.935
120,4174.197
121,4186.75
122,4270.274
123,4353.798
124,4437.322
125,4520.845
126,4604.369
127,4687.893
128,4788.956
129,4897.816
130,5006.675
131,5115.534
132,5221.06
133,5286.594
134,5352.128
135,5417.662
136,5483.196
137,5548.786
138,5615.049
139,5681.311
140,5747.573
141,5813.835
142,5880.097
143,5946.359
144,6010.194
145,6060.68
146,6111.165
147,6161.65
148,6212.136
149,6262.621
150,6313.107
151,6359.431
152,6391.886
153,6424.341
154,6456.796
155,6489.251
156,6521.706
157,6554.161
158,6586.616
159,6616.574
160,6632.802
161,6649.029
162,6665.257
163,6681.484
164,6697.712
165,6713.939
166,6730.166
167,6745.146
168,6745.146
169,6745.146
170,6745.146
171,6745.146
172,6745.146
173,6745.146
174,6736.99
175,6721.845
176,6706.699
177,6691.553
178,6676.408
179,6661.262
180,6708.738
181,6775
182,6841.262
183,6907.524
184,6978.738
185,7077.184
186,7175.631
187,7274.078
188,7372.524
189,7470.971
190,7555.825
191,7618.932
192,7682.039
193,7745.146
194,7808.252
195,7871.359
196,7934.466
197,8001.214
198,8072.209
199,8143.204
200,8214.199
201,8285.194
202,8356.189
203,8419.136
204,8463.975
205,8508.815
206,8553.654
207,8598.493
208,8643.332
209,8688.171
210,8733.01
211,8763.774
212,8794.539
213,8825.303
214,8856.068
215,8886.833
216,8917.597
217,8948.362
218,8979.126
219,9009.891
220,9023.712
221,9032.45
222,9041.187
223,9049.925
224,9058.663
225,9067.401
226,9076.139
227,9084.877
228,9093.615
229,9102.353
230,9094.089
231,9080.725
232,9067.362
233,9053.998
234,9040.634
235,9027.27

