power,cost
61,2044.847
62,2123.488
63,2202.128
64,2280.769
65,2359.41
66,2437.776
67,2515.225
68,2592.674
69,2670.124
70,2747.573
71,2811.942
72,2876.311
73,2940.68
74,3005.049
75,3069.417
76,3129.969
77,3177.798
78,3225.626
79,3273.454
80,3321.283
81,3369.111
82,3416.939
83,3464.768
84,3501.214
85,3536.711
86,3572.209
87,3607.706
88,3643.204
89,3678.701
90,3705.617
91,3729.958
92,3754.3
93,3778.641
94,3802.982
95,3827.323
96,3851.664
97,3876.006
98,3885.68
99,3888.835
100,3891.99
101,3895.146
102,3898.301
103,3901.456
104,3904.612
105,3901.979
106,3897.61
107,3893.241
108,3888.872
109,3884.503
110,3938.682
111,4010.424
112,4082.167
113,4153.909
114,4225.652
115,4297.394
116,4369.136
117,4445.449
118,4527.093
119,4608.738
120,4690.382
121,4772.027
122,4853.671
123,4932.269
124,5004.011
125,5075.754
126,5147.496
127,5219.239
128,5290.981
129,5362.724
130,5434.466
131,5503.433
132,5572.399
133,5641.366
134,5710.333
135,5779.3
136,5830.497
137,5870.588
138,5910.68
139,5950.771
140,5990.862
141,6030.954
142,6070.531
143,6103.941
144,6137.35
145,6170.76
146,6204.169
147,6237.579
148,6270.988
149,6295.583
150,6312.621
151,6329.66
152,6346.699
153,6363.738
154,6380.777
155,6397.816
156,6414.854
157,6422.534
158,6428.513
159,6434.492
160,6440.47
161,6446.449
162,6452.427
163,6458.406
164,6512.136
165,6606.796
166,6701.456
167,6796.117
168,6890.777
169,6962.401
170,7032.105
171,7101.809
172,7171.514
173,7241.218
174,7310.922
175,7380.627
176,7450.331
177,7517.354
178,7581.25
179,7645.146
180,7709.041
181,7772.937
182,7836.833
183,7894.432
184,7937.864
185,7981.296
186,8024.729
187,8068.161
188,8111.593
189,8155.026
190,8190.865
191,8224.426
192,8257.988
193,8291.549
194,8325.11
195,8358.672
196,8392.233
197,8425.794
198,8453.398
199,8467.597
200,8481.796
201,8495.995
202,8510.194
203,8524.393
204,8538.592
205,8552.791
206,8556.505
207,8553.665
208,8550.825
209,8547.985
210,8545.146
211,8542.306
212,8539.466
213,8536.626
214,8528.342
215,8519.604
216,8510.866
217,8502.128
218,8493.391

